Timestamp,Host,Reachable,Avg_RTT_ms
2025-06-30 07:10:02,1.1.1.1,Yes,14.250
2025-06-30 07:10:03,192.168.1.1,Yes,N/A
2025-06-30 07:20:01,8.8.8.8,Yes,19.878
2025-06-30 07:20:02,1.1.1.1,Yes,2.826
2025-06-30 07:20:03,192.168.1.1,Yes,N/A
2025-06-30 07:30:02,8.8.8.8,Yes,17.039
2025-06-30 07:30:03,1.1.1.1,Yes,3.116
2025-06-30 07:30:14,192.168.1.1,Yes,N/A
2025-06-30 07:40:01,8.8.8.8,Yes,17.546
2025-06-30 07:40:02,1.1.1.1,Yes,2.884
2025-06-30 07:40:13,192.168.1.1,Yes,N/A
2025-06-30 07:50:01,8.8.8.8,Yes,19.794
2025-06-30 07:50:02,1.1.1.1,Yes,4.800
2025-06-30 07:50:03,192.168.1.1,Yes,N/A
2025-06-30 08:00:01,8.8.8.8,Yes,19.013
2025-06-30 08:00:12,1.1.1.1,Yes,2.955
2025-06-30 08:00:13,192.168.1.1,Yes,N/A
2025-06-30 08:10:01,8.8.8.8,Yes,16.278
2025-06-30 08:10:02,1.1.1.1,Yes,41.716
2025-06-30 08:10:03,192.168.1.1,Yes,N/A
2025-06-30 08:20:01,8.8.8.8,Yes,18.895
2025-06-30 08:20:02,1.1.1.1,Yes,2.747
2025-06-30 08:20:03,192.168.1.1,Yes,N/A
2025-06-30 08:30:01,8.8.8.8,Yes,19.640
2025-06-30 08:30:02,1.1.1.1,Yes,35.625
2025-06-30 08:30:03,192.168.1.1,Yes,N/A
2025-06-30 08:40:01,8.8.8.8,Yes,19.445
2025-06-30 08:40:02,1.1.1.1,Yes,33.087
2025-06-30 08:40:03,192.168.1.1,Yes,N/A
2025-06-30 08:50:01,8.8.8.8,Yes,16.232
2025-06-30 08:50:02,1.1.1.1,Yes,2.857
2025-06-30 08:50:03,192.168.1.1,Yes,N/A
2025-06-30 09:00:01,8.8.8.8,Yes,19.144
2025-06-30 09:00:03,1.1.1.1,Yes,2.015
2025-06-30 09:00:04,192.168.1.1,Yes,N/A
2025-06-30 11:50:01,8.8.8.8,Yes,15.880
2025-06-30 11:50:02,1.1.1.1,Yes,3.051
2025-06-30 11:50:03,192.168.1.1,Yes,N/A
2025-06-30 12:00:02,8.8.8.8,Yes,16.179
2025-06-30 12:00:03,1.1.1.1,Yes,33.298
2025-06-30 12:00:04,192.168.1.1,Yes,N/A
2025-06-30 19:20:01,8.8.8.8,Yes,37.975
2025-06-30 19:20:02,1.1.1.1,Yes,4.867
2025-06-30 19:20:03,192.168.1.1,Yes,N/A
2025-06-30 19:30:02,8.8.8.8,Yes,17.784
2025-06-30 19:30:03,1.1.1.1,Yes,2.617
2025-06-30 19:30:04,192.168.1.1,Yes,N/A
2025-06-30 19:40:01,8.8.8.8,Yes,16.001
2025-06-30 19:40:02,1.1.1.1,Yes,1.812
2025-06-30 19:40:03,192.168.1.1,Yes,N/A
2025-06-30 19:50:01,8.8.8.8,Yes,18.399
2025-06-30 19:50:02,1.1.1.1,Yes,1.917
2025-06-30 19:50:03,192.168.1.1,Yes,N/A
2025-06-30 20:00:01,8.8.8.8,Yes,16.307
2025-06-30 20:00:02,1.1.1.1,Yes,2.347
2025-06-30 20:00:03,192.168.1.1,Yes,N/A
2025-06-30 20:10:01,8.8.8.8,Yes,16.164
2025-06-30 20:10:12,1.1.1.1,Yes,5.471
2025-06-30 20:10:13,192.168.1.1,Yes,N/A
2025-06-30 20:20:02,8.8.8.8,Yes,18.461
2025-06-30 20:20:03,1.1.1.1,Yes,5.695
2025-06-30 20:20:04,192.168.1.1,Yes,N/A
2025-06-30 20:30:01,8.8.8.8,Yes,66.091
2025-06-30 20:30:03,1.1.1.1,Yes,119.872
2025-06-30 20:30:04,192.168.1.1,Yes,N/A
2025-06-30 20:40:01,8.8.8.8,Yes,17.838
2025-06-30 20:40:02,1.1.1.1,Yes,35.960
2025-06-30 20:40:03,192.168.1.1,Yes,N/A
2025-06-30 20:50:01,8.8.8.8,Yes,17.577
2025-06-30 20:50:02,1.1.1.1,Yes,3.422
2025-06-30 20:50:03,192.168.1.1,Yes,N/A
2025-06-30 21:00:01,8.8.8.8,Yes,85.535
2025-06-30 21:00:02,1.1.1.1,Yes,5.724
2025-06-30 21:00:03,192.168.1.1,Yes,N/A
2025-06-30 21:10:02,8.8.8.8,Yes,17.435
2025-06-30 21:10:03,1.1.1.1,Yes,5.153
2025-06-30 21:10:04,192.168.1.1,Yes,N/A
2025-06-30 21:20:01,8.8.8.8,Yes,21.994
2025-06-30 21:20:02,1.1.1.1,Yes,2.174
2025-06-30 21:20:04,192.168.1.1,Yes,N/A
2025-06-30 21:30:01,8.8.8.8,Yes,15.999
2025-06-30 21:30:02,1.1.1.1,Yes,78.627
2025-06-30 21:30:03,192.168.1.1,Yes,N/A
2025-06-30 21:40:01,8.8.8.8,Yes,46.697
2025-06-30 21:40:02,1.1.1.1,Yes,10.991
2025-06-30 21:40:03,192.168.1.1,Yes,N/A
2025-06-30 21:50:01,8.8.8.8,Yes,59.856
2025-06-30 21:50:12,1.1.1.1,Yes,13.845
2025-06-30 21:50:13,192.168.1.1,Yes,N/A
2025-06-30 22:00:01,8.8.8.8,Yes,59.666
2025-06-30 22:00:02,1.1.1.1,Yes,26.584
2025-06-30 22:00:03,192.168.1.1,Yes,N/A
2025-06-30 22:10:01,8.8.8.8,Yes,94.619
2025-06-30 22:10:02,1.1.1.1,Yes,98.791
2025-06-30 22:10:04,192.168.1.1,Yes,N/A
2025-06-30 22:20:01,8.8.8.8,Yes,N/A
2025-06-30 22:20:12,1.1.1.1,Yes,N/A
2025-06-30 22:20:23,192.168.1.1,Yes,N/A
2025-06-30 22:30:01,8.8.8.8,Yes,N/A
2025-06-30 22:30:12,1.1.1.1,Yes,N/A
2025-06-30 22:30:23,192.168.1.1,Yes,N/A
2025-06-30 22:41:09,8.8.8.8,Yes,N/A
2025-06-30 22:41:20,1.1.1.1,Yes,N/A
2025-06-30 22:41:31,192.168.1.1,Yes,N/A
2025-06-30 22:50:01,8.8.8.8,Yes,N/A
2025-06-30 22:50:12,1.1.1.1,Yes,N/A
2025-06-30 22:50:23,192.168.1.1,Yes,N/A
2025-06-30 23:00:01,8.8.8.8,Yes,N/A
2025-06-30 23:00:12,1.1.1.1,Yes,N/A
2025-06-30 23:00:23,192.168.1.1,Yes,N/A
2025-06-30 23:10:01,8.8.8.8,Yes,N/A
2025-06-30 23:10:12,1.1.1.1,Yes,N/A
2025-06-30 23:10:23,192.168.1.1,Yes,N/A
